floe_id,area_px,centroid_x,centroid_y,avg_temp,min_temp,max_temp,std_temp
36,15,307.4260700389105,74.72859922178988,-22.28784942626953,-22.96523094177246,-21.12233543395996,0.3965781629085541
37,53,424.8346238938053,94.4128871681416,-22.09271240234375,-22.849462509155273,-21.007802963256836,0.27129366993904114
38,27,361.0867021276596,83.13351063829788,-22.09946632385254,-22.7337703704834,-21.236928939819336,0.23807275295257568
39,1,66.68571428571428,62.180952380952384,-21.85725212097168,-22.156484603881836,-21.236928939819336,0.2399727702140808
40,10,612.504761904762,74.42040816326531,-21.63058090209961,-22.156484603881836,-21.007802963256836,0.23896290361881256
41,1,637.2857142857143,68.84285714285714,-21.40252113342285,-21.811071395874023,-20.77899742126465,0.1964443027973175
42,8,75.8076923076923,80.7534965034965,-22.088661193847656,-23.08107566833496,-21.351598739624023,0.3003119230270386
43,2,99.90116279069767,80.02325581395348,-22.028087615966797,-22.618154525756836,-21.351598739624023,0.2679181694984436
44,1,166.3,78.07777777777778,-21.926300048828125,-22.38716697692871,-21.351598739624023,0.24195876717567444
45,42,233.7173010380623,105.46193771626298,-22.369150161743164,-23.429128646850586,-21.12233543395996,0.38419556617736816
46,5,11.497159090909092,89.55397727272727,-22.26761817932129,-23.08107566833496,-21.236928939819336,0.37680256366729736
47,1,35.59375,84.65625,-21.776464462280273,-22.0412654876709,-21.351598739624023,0.21644118428230286
48,1,122.76744186046511,85.03875968992249,-21.84596824645996,-22.156484603881836,-21.351598739624023,0.20284554362297058
49,41,565.3412557644555,118.17098261794963,-21.90229034423828,-22.618154525756836,-21.007802963256836,0.2670259475708008
50,40,147.72710821570757,116.53166847629389,-22.772790908813477,-23.5452938079834,-21.236928939819336,0.41668981313705444
51,2,321.5328947368421,102.9407894736842,-21.739337921142578,-22.156484603881836,-21.351598739624023,0.2201964110136032
52,9,520.9147909967845,115.54823151125402,-21.955699920654297,-22.7337703704834,-21.007802963256836,0.33565887808799744
53,0,74.41304347826087,104.3913043478261,-21.778650283813477,-22.156484603881836,-21.466360092163086,0.16555655002593994
54,0,108.73469387755102,104.53061224489795,-21.77596664428711,-22.0412654876709,-21.351598739624023,0.1875777244567871
55,6,291.01382488479265,113.71198156682027,-22.081605911254883,-22.7337703704834,-21.236928939819336,0.29557788372039795
56,1,275.2647058823529,106.80882352941177,-21.714815139770508,-22.156484603881836,-21.351598739624023,0.21380652487277985
57,17,363.9939655172414,121.66379310344827,-22.40884017944336,-23.77789878845215,-21.007802963256836,0.4427144229412079
